"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"16.08.2024","1,2944","1,2854","1,2947","1,2851","","0,72%"
"15.08.2024","1,2851","1,2827","1,2873","1,2798","","0,20%"
"14.08.2024","1,2825","1,2862","1,2870","1,2819","","-0,25%"
"13.08.2024","1,2857","1,2766","1,2874","1,2760","","0,73%"
"12.08.2024","1,2764","1,2757","1,2795","1,2746","","0,04%"
"09.08.2024","1,2759","1,2749","1,2775","1,2725","","0,09%"
"08.08.2024","1,2747","1,2691","1,2754","1,2664","","0,44%"
"07.08.2024","1,2691","1,2691","1,2737","1,2680","","0,02%"
"06.08.2024","1,2689","1,2778","1,2805","1,2672","","-0,66%"
"05.08.2024","1,2773","1,2808","1,2818","1,2708","","-0,20%"
"02.08.2024","1,2798","1,2749","1,2841","1,2706","","0,46%"
"01.08.2024","1,2739","1,2857","1,2865","1,2726","","-0,91%"
"31.07.2024","1,2856","1,2836","1,2866","1,2820","","0,17%"
"30.07.2024","1,2834","1,2862","1,2868","1,2819","","-0,19%"
"29.07.2024","1,2859","1,2874","1,2890","1,2805","","-0,10%"
"26.07.2024","1,2872","1,2852","1,2880","1,2849","","0,16%"
"25.07.2024","1,2851","1,2907","1,2917","1,2849","","-0,43%"
"24.07.2024","1,2906","1,2907","1,2939","1,2876","","0,01%"
"23.07.2024","1,2905","1,2934","1,2937","1,2887","","-0,21%"
"22.07.2024","1,2932","1,2912","1,2944","1,2904","","0,10%"
"19.07.2024","1,2919","1,2944","1,2955","1,2900","","-0,17%"
"18.07.2024","1,2941","1,3010","1,3015","1,2939","","-0,52%"
"17.07.2024","1,3008","1,2973","1,3046","1,2965","","0,33%"
"16.07.2024","1,2965","1,2967","1,2981","1,2937","","-0,01%"
"15.07.2024","1,2966","1,2994","1,2996","1,2959","","-0,20%"
"12.07.2024","1,2992","1,2911","1,2995","1,2901","","0,64%"
"11.07.2024","1,2909","1,2849","1,2950","1,2846","","0,50%"
"10.07.2024","1,2845","1,2787","1,2851","1,2782","","0,49%"
"09.07.2024","1,2783","1,2810","1,2827","1,2777","","-0,16%"
"08.07.2024","1,2804","1,2789","1,2847","1,2788","","-0,03%"
"05.07.2024","1,2808","1,2760","1,2819","1,2753","","0,40%"
"04.07.2024","1,2757","1,2742","1,2769","1,2740","","0,13%"
"03.07.2024","1,2740","1,2677","1,2779","1,2673","","0,44%"
"02.07.2024","1,2684","1,2647","1,2689","1,2614","","0,29%"
"01.07.2024","1,2647","1,2644","1,2710","1,2632","","0,04%"
"28.06.2024","1,2642","1,2639","1,2665","1,2619","","0,03%"
"27.06.2024","1,2638","1,2625","1,2672","1,2612","","0,14%"
"26.06.2024","1,2620","1,2686","1,2695","1,2614","","-0,50%"
"25.06.2024","1,2683","1,2681","1,2704","1,2669","","0,03%"
"24.06.2024","1,2679","1,2646","1,2700","1,2631","","0,27%"
"21.06.2024","1,2645","1,2658","1,2677","1,2622","","-0,08%"
"20.06.2024","1,2655","1,2719","1,2726","1,2653","","-0,49%"
"19.06.2024","1,2717","1,2708","1,2741","1,2697","","0,08%"
"18.06.2024","1,2707","1,2702","1,2722","1,2668","","0,03%"
"17.06.2024","1,2703","1,2686","1,2711","1,2658","","0,17%"
"14.06.2024","1,2682","1,2761","1,2765","1,2656","","-0,60%"
"13.06.2024","1,2759","1,2799","1,2809","1,2737","","-0,29%"
"12.06.2024","1,2796","1,2742","1,2862","1,2731","","0,44%"
"11.06.2024","1,2740","1,2731","1,2753","1,2705","","0,08%"
"10.06.2024","1,2730","1,2723","1,2739","1,2687","","0,07%"
"07.06.2024","1,2721","1,2790","1,2813","1,2715","","-0,52%"
"06.06.2024","1,2788","1,2787","1,2811","1,2761","","0,02%"
"05.06.2024","1,2785","1,2765","1,2796","1,2754","","0,17%"
"04.06.2024","1,2763","1,2807","1,2819","1,2742","","-0,32%"
"03.06.2024","1,2804","1,2732","1,2809","1,2694","","0,51%"
"31.05.2024","1,2739","1,2732","1,2767","1,2699","","0,07%"
"30.05.2024","1,2730","1,2701","1,2748","1,2680","","0,18%"
"29.05.2024","1,2707","1,2761","1,2778","1,2698","","-0,42%"
"28.05.2024","1,2760","1,2770","1,2802","1,2753","","-0,05%"
"27.05.2024","1,2767","1,2730","1,2779","1,2730","","0,21%"
"24.05.2024","1,2740","1,2692","1,2752","1,2678","","0,34%"
"23.05.2024","1,2697","1,2717","1,2748","1,2684","","-0,14%"
"22.05.2024","1,2715","1,2709","1,2763","1,2699","","0,06%"
"21.05.2024","1,2707","1,2706","1,2728","1,2686","","0,02%"
"20.05.2024","1,2704","1,2701","1,2727","1,2686","","0,04%"
"17.05.2024","1,2699","1,2672","1,2713","1,2644","","0,26%"
"16.05.2024","1,2666","1,2681","1,2702","1,2642","","-0,15%"
"15.05.2024","1,2685","1,2592","1,2688","1,2582","","0,77%"
"14.05.2024","1,2588","1,2559","1,2594","1,2508","","0,24%"
"13.05.2024","1,2558","1,2523","1,2570","1,2516","","0,30%"
"10.05.2024","1,2521","1,2524","1,2542","1,2501","","-0,01%"
"09.05.2024","1,2522","1,2491","1,2528","1,2445","","0,21%"
"08.05.2024","1,2496","1,2509","1,2522","1,2466","","-0,06%"
"07.05.2024","1,2504","1,2561","1,2572","1,2500","","-0,45%"
"06.05.2024","1,2561","1,2546","1,2596","1,2537","","0,14%"
"03.05.2024","1,2544","1,2535","1,2635","1,2521","","0,10%"
"02.05.2024","1,2531","1,2521","1,2546","1,2471","","0,05%"
"01.05.2024","1,2525","1,2494","1,2551","1,2465","","0,28%"
"30.04.2024","1,2490","1,2561","1,2566","1,2489","","-0,57%"
"29.04.2024","1,2561","1,2491","1,2571","1,2479","","0,58%"
"26.04.2024","1,2489","1,2520","1,2542","1,2448","","-0,19%"
"25.04.2024","1,2513","1,2464","1,2527","1,2449","","0,42%"
"24.04.2024","1,2461","1,2450","1,2471","1,2421","","0,10%"
"23.04.2024","1,2448","1,2349","1,2460","1,2330","","0,80%"
"22.04.2024","1,2349","1,2373","1,2394","1,2298","","-0,18%"
"19.04.2024","1,2371","1,2436","1,2470","1,2365","","-0,51%"
"18.04.2024","1,2435","1,2454","1,2486","1,2432","","-0,09%"
"17.04.2024","1,2446","1,2427","1,2483","1,2416","","0,18%"
"16.04.2024","1,2424","1,2441","1,2473","1,2405","","-0,16%"
"15.04.2024","1,2444","1,2451","1,2500","1,2435","","-0,05%"
"12.04.2024","1,2450","1,2553","1,2560","1,2425","","-0,80%"
"11.04.2024","1,2550","1,2535","1,2580","1,2510","","0,15%"
"10.04.2024","1,2531","1,2679","1,2709","1,2519","","-1,14%"
"09.04.2024","1,2676","1,2651","1,2711","1,2647","","0,19%"
"08.04.2024","1,2652","1,2638","1,2665","1,2612","","0,13%"
"05.04.2024","1,2636","1,2643","1,2650","1,2573","","-0,03%"
"04.04.2024","1,2640","1,2652","1,2685","1,2634","","-0,09%"
"03.04.2024","1,2651","1,2578","1,2657","1,2561","","0,59%"
"02.04.2024","1,2577","1,2551","1,2580","1,2538","","0,22%"
"01.04.2024","1,2550","1,2631","1,2644","1,2538","","-0,58%"
"29.03.2024","1,2623","1,2623","1,2647","1,2609","","0,01%"
"28.03.2024","1,2622","1,2640","1,2656","1,2585","","-0,13%"
"27.03.2024","1,2638","1,2628","1,2643","1,2604","","0,10%"
"26.03.2024","1,2625","1,2638","1,2669","1,2621","","-0,07%"
"25.03.2024","1,2634","1,2600","1,2654","1,2591","","0,26%"
"22.03.2024","1,2601","1,2658","1,2677","1,2574","","-0,43%"
"21.03.2024","1,2656","1,2786","1,2805","1,2649","","-1,00%"
"20.03.2024","1,2784","1,2722","1,2789","1,2683","","0,50%"
"19.03.2024","1,2720","1,2730","1,2734","1,2666","","-0,06%"
"18.03.2024","1,2727","1,2733","1,2748","1,2717","","-0,09%"
"15.03.2024","1,2739","1,2753","1,2760","1,2724","","-0,09%"
"14.03.2024","1,2751","1,2797","1,2824","1,2729","","-0,35%"
"13.03.2024","1,2796","1,2795","1,2813","1,2773","","0,04%"
"12.03.2024","1,2791","1,2814","1,2837","1,2745","","-0,16%"
"11.03.2024","1,2812","1,2865","1,2867","1,2794","","-0,35%"
"08.03.2024","1,2857","1,2811","1,2895","1,2800","","0,40%"
"07.03.2024","1,2806","1,2742","1,2812","1,2722","","0,60%"
"06.03.2024","1,2729","1,2706","1,2763","1,2689","","0,20%"
"05.03.2024","1,2703","1,2692","1,2736","1,2670","","0,10%"
"04.03.2024","1,2690","1,2656","1,2708","1,2650","","0,32%"
"01.03.2024","1,2650","1,2625","1,2665","1,2599","","0,21%"
"29.02.2024","1,2623","1,2662","1,2683","1,2611","","-0,30%"
"28.02.2024","1,2661","1,2684","1,2689","1,2620","","-0,17%"
"27.02.2024","1,2683","1,2685","1,2698","1,2659","","0,01%"
"26.02.2024","1,2682","1,2666","1,2701","1,2656","","0,02%"
"23.02.2024","1,2679","1,2659","1,2702","1,2648","","0,16%"
"22.02.2024","1,2659","1,2638","1,2711","1,2610","","0,20%"
"21.02.2024","1,2634","1,2622","1,2643","1,2601","","0,13%"
"20.02.2024","1,2618","1,2591","1,2670","1,2578","","0,20%"
"19.02.2024","1,2593","1,2603","1,2631","1,2582","","-0,04%"
"16.02.2024","1,2598","1,2600","1,2626","1,2550","","-0,02%"
"15.02.2024","1,2600","1,2565","1,2603","1,2541","","0,28%"
"14.02.2024","1,2565","1,2590","1,2613","1,2534","","-0,19%"
"13.02.2024","1,2589","1,2630","1,2685","1,2572","","-0,29%"
"12.02.2024","1,2626","1,2625","1,2656","1,2605","","0,06%"
"09.02.2024","1,2619","1,2622","1,2644","1,2598","","0,02%"
"08.02.2024","1,2616","1,2626","1,2640","1,2571","","-0,07%"
"07.02.2024","1,2625","1,2598","1,2643","1,2591","","0,22%"
"06.02.2024","1,2597","1,2536","1,2605","1,2529","","0,52%"
"05.02.2024","1,2532","1,2633","1,2644","1,2517","","-0,78%"
"02.02.2024","1,2630","1,2744","1,2774","1,2613","","-0,88%"
"01.02.2024","1,2742","1,2687","1,2757","1,2624","","0,45%"
"31.01.2024","1,2685","1,2699","1,2752","1,2657","","-0,09%"
"30.01.2024","1,2697","1,2710","1,2723","1,2639","","-0,08%"
"29.01.2024","1,2707","1,2697","1,2720","1,2661","","0,04%"
"26.01.2024","1,2702","1,2710","1,2759","1,2674","","-0,05%"
"25.01.2024","1,2708","1,2721","1,2744","1,2680","","-0,12%"
"24.01.2024","1,2723","1,2688","1,2776","1,2677","","0,28%"
"23.01.2024","1,2687","1,2709","1,2749","1,2648","","-0,15%"
"22.01.2024","1,2706","1,2692","1,2734","1,2686","","0,05%"
"19.01.2024","1,2700","1,2706","1,2716","1,2660","","-0,04%"
"18.01.2024","1,2705","1,2677","1,2710","1,2647","","0,26%"
"17.01.2024","1,2672","1,2633","1,2698","1,2595","","0,28%"
"16.01.2024","1,2636","1,2733","1,2738","1,2618","","-0,70%"
"15.01.2024","1,2725","1,2749","1,2767","1,2712","","-0,20%"
"12.01.2024","1,2751","1,2759","1,2787","1,2718","","-0,07%"
"11.01.2024","1,2760","1,2742","1,2776","1,2689","","0,16%"
"10.01.2024","1,2739","1,2709","1,2746","1,2685","","0,27%"
"09.01.2024","1,2705","1,2749","1,2766","1,2688","","-0,33%"
"08.01.2024","1,2747","1,2721","1,2768","1,2672","","0,24%"
"05.01.2024","1,2716","1,2682","1,2772","1,2610","","0,29%"
"04.01.2024","1,2679","1,2665","1,2731","1,2656","","0,13%"
"03.01.2024","1,2662","1,2618","1,2678","1,2614","","0,38%"
"02.01.2024","1,2614","1,2730","1,2761","1,2609","","-0,86%"
"01.01.2024","1,2723","1,2731","1,2751","1,2713","","-0,05%"
"29.12.2023","1,2729","1,2731","1,2774","1,2699","","-0,01%"
"28.12.2023","1,2730","1,2797","1,2829","1,2711","","-0,50%"
"27.12.2023","1,2794","1,2719","1,2804","1,2698","","0,53%"
"26.12.2023","1,2726","1,2693","1,2732","1,2683","","0,29%"
"25.12.2023","1,2689","1,2709","1,2727","1,2683","","-0,09%"
"22.12.2023","1,2700","1,2687","1,2746","1,2673","","0,09%"
"21.12.2023","1,2688","1,2639","1,2697","1,2611","","0,40%"
"20.12.2023","1,2637","1,2731","1,2737","1,2624","","-0,73%"
"19.12.2023","1,2730","1,2645","1,2763","1,2639","","0,70%"
"18.12.2023","1,2642","1,2679","1,2706","1,2628","","-0,26%"
"15.12.2023","1,2675","1,2765","1,2792","1,2668","","-0,71%"
"14.12.2023","1,2766","1,2618","1,2796","1,2611","","1,17%"
"13.12.2023","1,2618","1,2563","1,2636","1,2499","","0,45%"
"12.12.2023","1,2561","1,2556","1,2616","1,2513","","0,06%"
"11.12.2023","1,2553","1,2544","1,2592","1,2531","","0,06%"
"08.12.2023","1,2546","1,2594","1,2603","1,2502","","-0,35%"
"07.12.2023","1,2590","1,2560","1,2614","1,2543","","0,25%"
"06.12.2023","1,2559","1,2601","1,2615","1,2550","","-0,27%"
"05.12.2023","1,2593","1,2629","1,2653","1,2576","","-0,31%"
"04.12.2023","1,2632","1,2714","1,2727","1,2603","","-0,54%"
"01.12.2023","1,2700","1,2623","1,2718","1,2613","","0,62%"
"30.11.2023","1,2622","1,2697","1,2712","1,2602","","-0,57%"
"29.11.2023","1,2694","1,2698","1,2735","1,2664","","0,01%"
"28.11.2023","1,2693","1,2628","1,2716","1,2606","","0,54%"
"27.11.2023","1,2625","1,2596","1,2646","1,2590","","0,17%"
"24.11.2023","1,2603","1,2532","1,2617","1,2523","","0,56%"
"23.11.2023","1,2533","1,2491","1,2564","1,2488","","0,33%"
"22.11.2023","1,2492","1,2540","1,2551","1,2448","","-0,36%"
"21.11.2023","1,2537","1,2507","1,2561","1,2499","","0,26%"
"20.11.2023","1,2504","1,2456","1,2519","1,2445","","0,35%"
"17.11.2023","1,2461","1,2415","1,2466","1,2373","","0,44%"
"16.11.2023","1,2406","1,2416","1,2457","1,2375","","-0,10%"
"15.11.2023","1,2418","1,2500","1,2502","1,2403","","-0,63%"
"14.11.2023","1,2497","1,2279","1,2507","1,2264","","1,78%"
"13.11.2023","1,2278","1,2219","1,2282","1,2212","","0,46%"
"10.11.2023","1,2222","1,2224","1,2239","1,2186","","0,01%"
"09.11.2023","1,2221","1,2285","1,2310","1,2212","","-0,50%"
"08.11.2023","1,2282","1,2300","1,2306","1,2240","","-0,14%"
"07.11.2023","1,2299","1,2344","1,2353","1,2261","","-0,34%"
"06.11.2023","1,2341","1,2371","1,2430","1,2337","","-0,28%"
"03.11.2023","1,2376","1,2199","1,2391","1,2183","","1,43%"
"02.11.2023","1,2201","1,2152","1,2227","1,2137","","0,42%"
"01.11.2023","1,2150","1,2155","1,2166","1,2095","","-0,02%"
"31.10.2023","1,2152","1,2171","1,2202","1,2119","","-0,13%"
"30.10.2023","1,2168","1,2117","1,2176","1,2090","","0,38%"
"27.10.2023","1,2122","1,2128","1,2163","1,2104","","-0,03%"
"26.10.2023","1,2126","1,2113","1,2140","1,2069","","0,15%"
"25.10.2023","1,2108","1,2166","1,2178","1,2106","","-0,42%"
"24.10.2023","1,2159","1,2248","1,2290","1,2153","","-0,73%"
"23.10.2023","1,2248","1,2160","1,2260","1,2142","","0,72%"
"20.10.2023","1,2160","1,2144","1,2172","1,2093","","0,14%"
"19.10.2023","1,2143","1,2141","1,2193","1,2090","","0,02%"
"18.10.2023","1,2140","1,2183","1,2213","1,2136","","-0,31%"
"17.10.2023","1,2178","1,2218","1,2219","1,2133","","-0,31%"
"16.10.2023","1,2216","1,2138","1,2220","1,2134","","0,62%"
"13.10.2023","1,2141","1,2183","1,2227","1,2121","","-0,26%"
"12.10.2023","1,2173","1,2313","1,2333","1,2172","","-1,12%"
"11.10.2023","1,2311","1,2287","1,2339","1,2268","","0,21%"
"10.10.2023","1,2285","1,2239","1,2293","1,2211","","0,40%"
"09.10.2023","1,2236","1,2227","1,2245","1,2163","","-0,02%"
"06.10.2023","1,2238","1,2192","1,2262","1,2106","","0,39%"
"05.10.2023","1,2190","1,2136","1,2197","1,2107","","0,51%"
"04.10.2023","1,2128","1,2074","1,2178","1,2037","","0,44%"
"03.10.2023","1,2075","1,2092","1,2103","1,2052","","-0,09%"
"02.10.2023","1,2086","1,2201","1,2222","1,2086","","-0,91%"
"29.09.2023","1,2197","1,2200","1,2273","1,2180","","0,00%"
"28.09.2023","1,2197","1,2135","1,2226","1,2119","","0,52%"
"27.09.2023","1,2134","1,2169","1,2169","1,2110","","-0,19%"
"26.09.2023","1,2157","1,2209","1,2217","1,2152","","-0,44%"
"25.09.2023","1,2211","1,2246","1,2252","1,2194","","-0,22%"
"22.09.2023","1,2238","1,2301","1,2301","1,2230","","-0,46%"
"21.09.2023","1,2294","1,2349","1,2356","1,2237","","-0,41%"
"20.09.2023","1,2344","1,2392","1,2422","1,2332","","-0,37%"
"19.09.2023","1,2390","1,2385","1,2426","1,2370","","0,06%"
"18.09.2023","1,2382","1,2385","1,2412","1,2370","","-0,06%"
"15.09.2023","1,2389","1,2410","1,2447","1,2378","","-0,16%"
"14.09.2023","1,2409","1,2486","1,2508","1,2396","","-0,63%"
"13.09.2023","1,2488","1,2486","1,2513","1,2434","","0,03%"
"12.09.2023","1,2484","1,2509","1,2532","1,2458","","-0,20%"
"11.09.2023","1,2509","1,2483","1,2549","1,2471","","0,36%"
"08.09.2023","1,2464","1,2475","1,2516","1,2451","","-0,07%"
"07.09.2023","1,2473","1,2507","1,2511","1,2445","","-0,26%"
"06.09.2023","1,2505","1,2565","1,2589","1,2482","","-0,46%"
"05.09.2023","1,2563","1,2621","1,2633","1,2527","","-0,46%"
"04.09.2023","1,2621","1,2588","1,2643","1,2584","","0,26%"
"01.09.2023","1,2588","1,2674","1,2714","1,2577","","-0,67%"
"31.08.2023","1,2673","1,2721","1,2736","1,2652","","-0,35%"
"30.08.2023","1,2718","1,2644","1,2747","1,2619","","0,63%"
"29.08.2023","1,2638","1,2604","1,2656","1,2562","","0,28%"
"28.08.2023","1,2603","1,2578","1,2612","1,2565","","0,21%"
"25.08.2023","1,2577","1,2601","1,2655","1,2548","","-0,17%"
"24.08.2023","1,2599","1,2732","1,2732","1,2591","","-1,00%"
"23.08.2023","1,2726","1,2733","1,2766","1,2615","","-0,03%"
"22.08.2023","1,2730","1,2757","1,2801","1,2718","","-0,19%"
"21.08.2023","1,2754","1,2733","1,2767","1,2710","","0,19%"
"18.08.2023","1,2730","1,2745","1,2767","1,2689","","-0,12%"
"17.08.2023","1,2745","1,2729","1,2788","1,2702","","0,14%"
"16.08.2023","1,2727","1,2707","1,2768","1,2687","","0,19%"
"15.08.2023","1,2703","1,2690","1,2754","1,2675","","0,18%"
"14.08.2023","1,2680","1,2688","1,2716","1,2616","","-0,11%"
"11.08.2023","1,2694","1,2678","1,2740","1,2666","","0,15%"
"10.08.2023","1,2675","1,2718","1,2820","1,2669","","-0,34%"
"09.08.2023","1,2718","1,2746","1,2783","1,2712","","-0,22%"
"08.08.2023","1,2746","1,2785","1,2788","1,2683","","-0,30%"
"07.08.2023","1,2784","1,2753","1,2790","1,2713","","0,28%"
"04.08.2023","1,2748","1,2714","1,2794","1,2689","","0,28%"
"03.08.2023","1,2713","1,2712","1,2729","1,2622","","0,03%"
"02.08.2023","1,2709","1,2777","1,2807","1,2680","","-0,53%"
"01.08.2023","1,2777","1,2838","1,2843","1,2740","","-0,47%"
"31.07.2023","1,2837","1,2849","1,2874","1,2828","","-0,10%"
"28.07.2023","1,2850","1,2798","1,2887","1,2763","","0,45%"
"27.07.2023","1,2793","1,2939","1,2997","1,2782","","-1,13%"
"26.07.2023","1,2939","1,2899","1,2962","1,2875","","0,30%"
"25.07.2023","1,2900","1,2829","1,2906","1,2809","","0,53%"
"24.07.2023","1,2832","1,2859","1,2885","1,2798","","-0,18%"
"21.07.2023","1,2855","1,2867","1,2905","1,2816","","-0,08%"
"20.07.2023","1,2865","1,2938","1,2965","1,2840","","-0,56%"
"19.07.2023","1,2937","1,3042","1,3046","1,2868","","-0,74%"
"18.07.2023","1,3034","1,3078","1,3127","1,3028","","-0,28%"
"17.07.2023","1,3071","1,3087","1,3110","1,3051","","-0,11%"
"14.07.2023","1,3086","1,3132","1,3146","1,3087","","-0,36%"
"13.07.2023","1,3133","1,2984","1,3141","1,2982","","1,13%"
"12.07.2023","1,2986","1,2933","1,3002","1,2904","","0,42%"
"11.07.2023","1,2932","1,2857","1,2936","1,2854","","0,57%"
"10.07.2023","1,2859","1,2835","1,2870","1,2750","","0,18%"
"07.07.2023","1,2836","1,2737","1,2851","1,2725","","0,75%"
"06.07.2023","1,2740","1,2698","1,2782","1,2674","","0,28%"
"05.07.2023","1,2704","1,2713","1,2737","1,2687","","-0,06%"
"04.07.2023","1,2712","1,2694","1,2740","1,2683","","0,17%"
"03.07.2023","1,2691","1,2687","1,2725","1,2658","","-0,10%"
